"year","ANZ","CAM","CAN","CHI","EEU","FSU","JPK","LAM","MAF","MDE","SAS","SEA","SIS","SSA","USA","WEU"
2067,0.524955387451436,-0.368686532827787,0.48526381534908,-1.09275620400211,-0.502724321551096,-0.560925297416879,-0.654509242476953,-0.470720803700713,-0.264578478767434,-0.0456888397159672,-0.306042820997339,-0.494307311148594,-0.660031528475402,0.419927535754163,0.435821317684595,0.0603288313819572
2068,0.498166463165202,-0.380439488310915,0.461792283837092,-1.10907507610401,-0.518644236257004,-0.575076597371007,-0.674270426541479,-0.488911534477472,-0.283719162738389,-0.0686940583118201,-0.330972672476841,-0.513304626154172,-0.672866782184744,0.396346031845827,0.427273452520547,0.044527276474442
2069,0.471377538878968,-0.392192443794044,0.438320752325105,-1.12539394820591,-0.534564150962913,-0.589227897325135,-0.694031610606005,-0.507102265254231,-0.302859846709345,-0.091699276907673,-0.355902523956344,-0.53230194115975,-0.685702035894087,0.37276452793749,0.418725587356499,0.0287257215669268
2070,0.444588614592734,-0.403945399277172,0.414849220813118,-1.14171282030781,-0.550484065668821,-0.603379197279263,-0.713792794670531,-0.52529299603099,-0.3220005306803,-0.114704495503526,-0.380832375435847,-0.551299256165327,-0.698537289603429,0.349183024029154,0.410177722192451,0.0129241666594115
2071,0.420743911698072,-0.415744922521935,0.393073678350029,-1.15535858726362,-0.565236663890769,-0.620330038614127,-0.73106718113763,-0.543873436154862,-0.341739448140197,-0.138082439863019,-0.405887269811869,-0.57032686776,-0.712006266720562,0.325789099864657,0.400142427332413,-0.00204731956115367
2072,0.39689920880341,-0.427544445766697,0.371298135886939,-1.16900435421943,-0.579989262112717,-0.637280879948992,-0.748341567604729,-0.562453876278735,-0.361478365600094,-0.161460384222512,-0.430942164187891,-0.589354479354673,-0.725475243837694,0.302395175700161,0.390107132472375,-0.0170188057817189
2073,0.373054505908748,-0.439343969011459,0.34952259342385,-1.18265012117524,-0.594741860334664,-0.654231721283856,-0.765615954071828,-0.581034316402607,-0.381217283059991,-0.184838328582004,-0.455997058563913,-0.608382090949346,-0.738944220954827,0.279001251535664,0.380071837612337,-0.0319902920022841
2074,0.349209803014086,-0.451143492256221,0.327747050960761,-1.19629588813105,-0.609494458556612,-0.67118256261872,-0.782890340538926,-0.599614756526479,-0.400956200519889,-0.208216272941497,-0.481051952939935,-0.62740970254402,-0.752413198071959,0.255607327371168,0.370036542752299,-0.0469617782228493
2075,0.325365100119424,-0.462943015500983,0.305971508497671,-1.20994165508687,-0.62424705677856,-0.688133403953584,-0.800164727006025,-0.618195196650351,-0.420695117979786,-0.23159421730099,-0.506106847315957,-0.646437314138693,-0.765882175189092,0.232213403206671,0.360001247892261,-0.0619332644434145
2076,0.295562092926973,-0.47510730009994,0.284967808027381,-1.22605563154033,-0.640687568185017,-0.706731078135472,-0.812111522427785,-0.636467941059611,-0.4399648678333,-0.254031952638665,-0.530661287693359,-0.664837178009918,-0.780436779181652,0.209972002633525,0.34101904024229,-0.0747905481002009
